station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KJAN,2011-04-27 18:00:00,6,120.2,15240.0,M,M,255.0,72,63.0,59.0
KJAN,2011-04-27 18:00:00,5,117.0,15399.0,-71.7,-80.7,M,M,M,M
KJAN,2011-04-27 18:00:00,5,115.0,15501.0,-69.9,-78.9,M,M,M,M
KJAN,2011-04-27 18:00:00,5,114.0,15553.0,-69.9,-78.9,M,M,M,M
KJAN,2011-04-27 18:00:00,5,111.0,15712.0,-67.3,-77.3,M,M,M,M
KJAN,2011-04-27 18:00:00,5,106.0,15990.0,-65.9,-75.9,M,M,M,M
KJAN,2011-04-27 18:00:00,5,102.0,16222.0,-68.1,-78.1,M,M,M,M
KJAN,2011-04-27 18:00:00,4,100.0,16350.0,-67.9,-77.9,245.0,35,63.0,62.0
KJAN,2011-04-27 18:00:00,5,93.2,16770.0,-69.7,-79.7,M,M,M,M
KJAN,2011-04-27 18:00:00,5,91.3,16893.0,-67.5,-77.5,M,M,M,M
KJAN,2011-04-27 18:00:00,5,86.2,17237.0,-68.7,-78.7,M,M,M,M
KJAN,2011-04-27 18:00:00,6,84.3,17373.0,M,M,220.0,17,63.0,63.0
KJAN,2011-04-27 18:00:00,5,83.4,17435.0,-66.5,-77.5,M,M,M,M
KJAN,2011-04-27 18:00:00,6,80.1,17678.0,M,M,240.0,19,63.0,64.0
KJAN,2011-04-27 18:00:00,5,74.5,18117.0,-65.9,-76.9,M,M,M,M
KJAN,2011-04-27 18:00:00,6,72.4,18288.0,M,M,215.0,24,63.0,64.0
KJAN,2011-04-27 18:00:00,5,70.5,18449.0,-68.1,-78.1,M,M,M,M
KJAN,2011-04-27 18:00:00,4,70.0,18490.0,-66.9,-77.9,225.0,22,63.0,64.0
KJAN,2011-04-27 18:00:00,5,69.5,18533.0,-66.1,-77.1,M,M,M,M
KJAN,2011-04-27 18:00:00,6,65.4,18897.0,M,M,230.0,4,63.0,65.0
KJAN,2011-04-27 18:00:00,5,65.1,18928.0,-66.7,-77.7,M,M,M,M
KJAN,2011-04-27 18:00:00,6,62.2,19202.0,M,M,185.0,12,62.0,65.0
KJAN,2011-04-27 18:00:00,5,61.3,19293.0,-63.5,-75.5,M,M,M,M
KJAN,2011-04-27 18:00:00,6,56.3,19812.0,M,M,200.0,11,62.0,65.0
