station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KABR,2022-12-16 12:00:00,4,70.0,18160.0,-57.5,-87.5,290.0,29,156.0,25.0
KABR,2022-12-16 12:00:00,6,68.6,18288.0,M,M,280.0,29,155.0,26.0
KABR,2022-12-16 12:00:00,5,62.9,18835.0,-56.7,-86.7,M,M,M,M
KABR,2022-12-16 12:00:00,6,62.3,18897.0,M,M,295.0,31,154.0,26.0
KABR,2022-12-16 12:00:00,4,50.0,20280.0,-61.1,-90.1,305.0,10,152.0,28.0
KABR,2022-12-16 12:00:00,6,44.2,21031.0,M,M,275.0,20,151.0,28.0
KABR,2022-12-16 12:00:00,6,42.1,21336.0,M,M,280.0,28,150.0,28.0
KABR,2022-12-16 12:00:00,6,36.3,22250.0,M,M,305.0,39,148.0,30.0
KABR,2022-12-16 12:00:00,6,31.3,23164.0,M,M,295.0,24,147.0,31.0
KABR,2022-12-16 12:00:00,4,30.0,23420.0,-66.5,-93.5,300.0,43,147.0,31.0
KABR,2022-12-16 12:00:00,6,26.9,24079.0,M,M,305.0,47,145.0,33.0
KABR,2022-12-16 12:00:00,6,25.5,24384.0,M,M,295.0,41,145.0,34.0
KABR,2022-12-16 12:00:00,6,24.3,24688.0,M,M,295.0,34,144.0,34.0
KABR,2022-12-16 12:00:00,6,23.0,24993.0,M,M,280.0,38,144.0,35.0
KABR,2022-12-16 12:00:00,4,20.0,25840.0,-72.1,-98.1,295.0,46,142.0,36.0
KABR,2022-12-16 12:00:00,6,16.9,26822.0,M,M,300.0,53,140.0,39.0
KABR,2022-12-16 12:00:00,5,15.5,27351.0,-68.1,-95.1,M,M,M,M
KABR,2022-12-16 12:00:00,6,15.3,27432.0,M,M,295.0,46,139.0,40.0
KABR,2022-12-16 12:00:00,6,13.2,28346.0,M,M,305.0,49,138.0,42.0
KABR,2022-12-16 12:00:00,6,11.3,29260.0,M,M,290.0,48,137.0,45.0
KABR,2022-12-16 12:00:00,6,10.8,29565.0,M,M,300.0,66,136.0,46.0
KABR,2022-12-16 12:00:00,4,10.0,30020.0,-60.7,-89.7,285.0,65,136.0,47.0
KABR,2022-12-16 12:00:00,6,9.3,30486.0,M,M,285.0,65,135.0,49.0
KABR,2022-12-16 12:00:00,5,8.4,31108.0,-58.1,-88.1,M,M,M,M
KABR,2022-12-16 12:00:00,6,8.0,31400.0,M,M,260.0,73,132.0,51.0
KABR,2022-12-16 12:00:00,5,7.8,31576.0,-56.1,-83.1,M,M,M,M
